player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_jersey_number,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,release_clause_eur,competicion
2968,Elias Kachunga,Ingolstadt,189,"['Right Wing', 'Right Center Forward', 'Left Wing', 'Center Forward', 'Left Center Midfield']",10,70,76,1900000.0,20000.0,23,1992-04-22,178,74,25.0,,2019.0,21,Germany,Right,,Germany - 1. Bundesliga
3016,Allan Saint-Maximin,Hannover 96,178,"['Center Attacking Midfield', 'Right Center Forward', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Wing Back', 'Center Forward', 'Left Center Forward']",16,64,81,850000.0,2000.0,18,1997-03-12,173,67,14.0,AS Monaco,2016.0,18,France,Right,,Germany - 1. Bundesliga
3053,Leroy Sané,Schalke 04,181,"['Left Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Left Center Midfield', 'Left Wing Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Forward', 'Left Attacking Midfield', 'Right Attacking Midfield', 'Center Attacking Midfield']",33,70,83,2300000.0,25000.0,19,1996-01-11,183,75,19.0,,2019.0,21,Germany,Left,,Germany - 1. Bundesliga
3058,Javier Hernández Balcázar,Bayer Leverkusen,904,"['Center Attacking Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward']",28,80,80,15000000.0,110000.0,27,1988-06-01,175,71,7.0,,2018.0,83,Mexico,Right,,Germany - 1. Bundesliga
3097,Pascal Groß,Ingolstadt,189,"['Right Center Midfield', 'Right Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Forward', 'Right Defensive Midfield', 'Left Center Forward']",32,75,78,5000000.0,35000.0,24,1991-06-15,181,76,10.0,,2016.0,21,Germany,Right,,Germany - 1. Bundesliga
3164,Marcelo Antônio Guedes Filho,Hannover 96,178,"['Right Center Back', 'Center Back']",19,75,75,3200000.0,40000.0,28,1987-05-20,191,80,25.0,,2018.0,54,Brazil,Right,,Germany - 1. Bundesliga
3221,Markus Suttner,Ingolstadt,189,['Left Back'],18,69,69,775000.0,10000.0,28,1987-04-16,179,73,29.0,,2018.0,4,Austria,Left,,Germany - 1. Bundesliga
3275,Henrikh Mkhitaryan,Borussia Dortmund,180,"['Left Wing', 'Right Wing', 'Left Center Forward', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Left Wing Back', 'Right Center Midfield', 'Left Center Back', 'Right Wing Back', 'Left Center Midfield']",31,81,83,19500000.0,110000.0,26,1989-01-21,177,75,10.0,,2017.0,3,Armenia,Right,,Germany - 1. Bundesliga
3499,Jean-Eric Maxim Choupo-Moting,Schalke 04,181,"['Right Midfield', 'Right Wing', 'Left Center Forward', 'Left Wing', 'Left Midfield', 'Right Center Midfield', 'Right Wing Back', 'Right Center Forward', 'Right Attacking Midfield', 'Left Wing Back', 'Left Defensive Midfield', 'Center Forward']",28,78,80,10500000.0,100000.0,26,1989-03-23,191,91,13.0,,2017.0,103,Cameroon,Right,,Germany - 1. Bundesliga
3500,Granit Xhaka,Borussia Mönchengladbach,185,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield']",28,81,85,21500000.0,80000.0,22,1992-09-27,185,82,34.0,,2019.0,47,Switzerland,Left,,Germany - 1. Bundesliga
3502,Joël Andre Job Matip,Schalke 04,181,"['Right Center Back', 'Center Back', 'Left Center Back', 'Left Center Forward']",34,80,83,15500000.0,90000.0,23,1991-08-08,195,90,32.0,,2016.0,103,Cameroon,Right,,Germany - 1. Bundesliga
3510,Sead Kolašinac,Schalke 04,181,"['Left Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Left Wing', 'Left Wing Back']",23,75,80,4600000.0,50000.0,22,1993-06-20,183,85,6.0,,2017.0,8,Bosnia and Herzegovina,Left,,Germany - 1. Bundesliga
3545,Luiz Gustavo Dias,Wolfsburg,179,"['Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield']",22,83,83,19000000.0,150000.0,27,1987-07-23,187,80,22.0,,2018.0,54,Brazil,Left,,Germany - 1. Bundesliga
3570,Pierre-Emile Højbjerg,Schalke 04,181,"['Left Center Forward', 'Center Forward', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Center Back', 'Center Attacking Midfield', 'Center Defensive Midfield']",23,73,82,3900000.0,45000.0,19,1995-08-05,185,84,23.0,FC Bayern München,2016.0,13,Denmark,Right,,Germany - 1. Bundesliga
3630,Loris Karius,FSV Mainz 05,177,['Goalkeeper'],34,78,84,10000000.0,40000.0,22,1993-06-22,190,87,1.0,,2018.0,21,Germany,Right,,Germany - 1. Bundesliga
3712,Pierre-Emerick Aubameyang,Borussia Dortmund,180,"['Center Forward', 'Right Wing', 'Left Center Forward', 'Right Center Forward', 'Right Defensive Midfield']",31,82,84,24500000.0,150000.0,26,1989-06-18,187,80,17.0,,2020.0,115,Gabon,Right,,Germany - 1. Bundesliga
3959,Andreas Christensen,Borussia Mönchengladbach,185,"['Left Center Back', 'Right Center Back', 'Center Back', 'Right Back', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield']",31,63,76,525000.0,4000.0,19,1996-04-10,188,74,3.0,,2020.0,13,Denmark,Right,,Germany - 1. Bundesliga
4174,Ragnar Klavan,Augsburg,172,['Left Center Back'],31,77,77,5000000.0,45000.0,29,1985-10-30,187,85,5.0,,2017.0,208,Estonia,Left,,Germany - 1. Bundesliga
4279,Konstantinos Stafylidis,Augsburg,172,"['Left Back', 'Left Defensive Midfield', 'Left Wing Back']",11,71,79,2100000.0,20000.0,21,1993-12-02,178,73,3.0,,2017.0,22,Greece,Left,,Germany - 1. Bundesliga
4430,Neven Subotić,Borussia Dortmund,180,['Right Center Back'],6,80,82,14000000.0,110000.0,26,1988-12-10,191,83,4.0,,2018.0,51,Serbia,Right,,Germany - 1. Bundesliga
4600,Diego Orlando Benaglio,Wolfsburg,179,['Goalkeeper'],21,81,81,13000000.0,100000.0,31,1983-09-08,194,89,1.0,,2016.0,47,Switzerland,Right,,Germany - 1. Bundesliga
4683,Adam Hloušek,VfB Stuttgart,174,"['Left Center Back', 'Right Center Midfield', 'Left Center Forward', 'Left Wing']",7,70,72,1300000.0,25000.0,26,1988-12-20,188,76,21.0,,2018.0,12,Czech Republic,Left,,Germany - 1. Bundesliga
5208,Thiago Alcântara do Nascimento,Bayern Munich,169,"['Center Defensive Midfield', 'Right Wing Back', 'Left Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Wing', 'Right Defensive Midfield', 'Center Attacking Midfield']",27,83,87,30000000.0,130000.0,24,1991-04-11,174,70,6.0,,2019.0,45,Spain,Right,,Germany - 1. Bundesliga
5244,Medhi Amine El Mouttaqi Benatia,Bayern Munich,169,"['Left Center Back', 'Right Center Back', 'Center Back']",14,84,84,23000000.0,180000.0,28,1987-04-17,190,92,5.0,,2019.0,129,Morocco,Right,,Germany - 1. Bundesliga
5467,Leon Aderemi Balogun,FSV Mainz 05,177,"['Right Center Forward', 'Right Back', 'Right Center Back', 'Center Forward', 'Left Center Back']",21,69,70,925000.0,10000.0,27,1988-06-28,190,88,3.0,,2018.0,133,Nigeria,Right,,Germany - 1. Bundesliga
5481,Mathew Leckie,Ingolstadt,189,"['Left Wing', 'Left Midfield', 'Center Forward', 'Right Midfield', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Right Center Midfield', 'Left Center Midfield']",32,73,76,3700000.0,35000.0,24,1991-02-04,181,82,7.0,,2017.0,195,Australia,Right,,Germany - 1. Bundesliga
5537,Fabian Lukas Schär,Hoffenheim,175,"['Right Center Back', 'Center Back', 'Left Center Forward', 'Left Center Back', 'Right Defensive Midfield', 'Center Defensive Midfield']",24,78,85,10500000.0,50000.0,23,1991-12-20,186,85,5.0,,2019.0,47,Switzerland,Right,,Germany - 1. Bundesliga
5543,Haris Seferović,Eintracht Frankfurt,184,"['Right Center Forward', 'Center Forward', 'Left Center Forward', 'Left Midfield', 'Right Wing', 'Center Defensive Midfield', 'Left Wing']",29,77,81,9500000.0,50000.0,23,1992-02-22,185,85,9.0,,2017.0,47,Switzerland,Left,,Germany - 1. Bundesliga
5544,Ricardo Iván Rodríguez Araya,Wolfsburg,179,['Left Back'],24,83,87,25500000.0,110000.0,22,1992-08-25,181,77,34.0,,2019.0,47,Switzerland,Left,,Germany - 1. Bundesliga
5548,Steven Zuber,Hoffenheim,175,"['Center Attacking Midfield', 'Right Center Forward', 'Left Attacking Midfield', 'Left Midfield', 'Right Center Midfield', 'Right Midfield', 'Left Wing', 'Center Forward', 'Right Center Back', 'Left Wing Back']",12,73,77,3700000.0,35000.0,23,1991-08-17,181,79,17.0,,2018.0,47,Switzerland,Right,,Germany - 1. Bundesliga
5550,Yann Sommer,Borussia Mönchengladbach,185,['Goalkeeper'],32,82,84,20000000.0,120000.0,26,1988-12-17,183,79,1.0,,2019.0,47,Switzerland,Right,,Germany - 1. Bundesliga
5555,Julian Brandt,Bayer Leverkusen,904,"['Left Midfield', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Center Forward', 'Left Wing Back', 'Center Attacking Midfield', 'Left Center Forward']",29,74,88,7000000.0,35000.0,19,1996-05-02,185,82,19.0,,2019.0,21,Germany,Right,,Germany - 1. Bundesliga
5557,Timo Werner,VfB Stuttgart,174,"['Right Wing Back', 'Left Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Right Midfield', 'Right Wing']",33,72,84,3400000.0,15000.0,19,1996-03-06,180,75,19.0,,2018.0,21,Germany,Right,,Germany - 1. Bundesliga
5559,Marco Reus,Borussia Dortmund,180,"['Right Wing', 'Left Wing', 'Center Forward', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Center Forward']",26,86,88,45500000.0,210000.0,26,1989-05-31,180,75,11.0,,2019.0,21,Germany,Right,,Germany - 1. Bundesliga
5562,Thomas Müller,Bayern Munich,169,"['Right Center Midfield', 'Center Forward', 'Center Attacking Midfield', 'Right Wing Back', 'Right Wing', 'Right Midfield', 'Left Center Midfield', 'Right Attacking Midfield', 'Left Wing', 'Right Center Forward', 'Left Center Forward']",31,86,88,47500000.0,210000.0,25,1989-09-13,186,75,25.0,,2019.0,21,Germany,Right,,Germany - 1. Bundesliga
5569,Marvin Plattenhardt,Hertha Berlin,173,"['Left Back', 'Left Wing Back']",33,74,78,3700000.0,35000.0,23,1992-01-26,181,76,21.0,,2017.0,21,Germany,Left,,Germany - 1. Bundesliga
5570,Manuel Neuer,Bayern Munich,169,['Goalkeeper'],34,90,90,58000000.0,250000.0,29,1986-03-27,193,92,1.0,,2019.0,21,Germany,Right,,Germany - 1. Bundesliga
5572,Mats Hummels,Borussia Dortmund,180,"['Left Center Back', 'Right Defensive Midfield']",30,86,88,39000000.0,220000.0,26,1988-12-16,191,92,15.0,,2017.0,21,Germany,Right,,Germany - 1. Bundesliga
5578,Jérôme Boateng,Bayern Munich,169,"['Right Center Back', 'Center Back', 'Left Center Back', 'Right Center Midfield']",19,87,89,45000000.0,220000.0,26,1988-09-03,192,90,17.0,,2018.0,21,Germany,Right,,Germany - 1. Bundesliga
5579,Joshua Kimmich,Bayern Munich,169,"['Center Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Back', 'Right Back', 'Right Center Back', 'Left Center Back']",22,70,82,2400000.0,25000.0,20,1995-02-08,176,70,32.0,,2020.0,21,Germany,Right,,Germany - 1. Bundesliga
5591,Filip Kostić,VfB Stuttgart,174,"['Left Midfield', 'Left Wing Back', 'Right Midfield', 'Left Center Midfield', 'Left Center Forward', 'Left Wing']",30,77,83,9500000.0,40000.0,22,1992-11-01,184,82,18.0,,2019.0,51,Serbia,Left,,Germany - 1. Bundesliga
5624,Albin Ekdal,Hamburger SV,171,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield']",14,75,78,5000000.0,35000.0,25,1989-07-28,186,82,20.0,,2019.0,46,Sweden,Right,,Germany - 1. Bundesliga
5632,Thorgan Hazard,Borussia Mönchengladbach,185,"['Left Center Forward', 'Right Center Forward', 'Left Midfield', 'Right Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Center Midfield', 'Left Wing', 'Left Wing Back', 'Center Forward']",29,78,83,11000000.0,60000.0,22,1993-03-29,174,69,10.0,,2019.0,7,Belgium,Right,,Germany - 1. Bundesliga
5658,Łukasz Piszczek,Borussia Dortmund,180,"['Right Back', 'Center Forward', 'Left Back', 'Right Wing Back', 'Right Center Back']",20,81,81,11500000.0,100000.0,30,1985-06-03,184,79,26.0,,2017.0,37,Poland,Right,,Germany - 1. Bundesliga
5664,Salif Sané,Hannover 96,178,"['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Center Back']",31,77,80,7500000.0,50000.0,24,1990-08-25,196,85,5.0,,2018.0,136,Senegal,Right,,Germany - 1. Bundesliga
5668,Robert Lewandowski,Bayern Munich,169,"['Center Forward', 'Left Center Forward', 'Right Center Forward']",32,87,89,55000000.0,230000.0,26,1988-08-21,185,79,9.0,,2019.0,37,Poland,Right,,Germany - 1. Bundesliga
5837,Douglas Costa de Souza,Bayern Munich,169,"['Left Midfield', 'Right Midfield', 'Left Wing Back', 'Left Wing', 'Right Wing Back', 'Right Wing', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Forward']",27,81,85,21500000.0,100000.0,24,1990-09-14,172,65,11.0,,2020.0,54,Brazil,Left,,Germany - 1. Bundesliga
6039,Sebastian Rudy,Hoffenheim,175,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Wing Back', 'Right Back']",24,77,80,8500000.0,50000.0,25,1990-02-28,179,73,6.0,,2017.0,21,Germany,Right,,Germany - 1. Bundesliga
6040,Jonas Hector,FC Köln,186,"['Left Back', 'Left Wing Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Center Attacking Midfield', 'Left Center Midfield']",32,77,81,7500000.0,50000.0,25,1990-05-27,185,75,14.0,,2018.0,21,Germany,Left,,Germany - 1. Bundesliga
6309,Tin Jedvaj,Bayer Leverkusen,904,"['Left Defensive Midfield', 'Right Back', 'Right Center Back']",15,75,86,5500000.0,35000.0,19,1995-11-28,184,83,16.0,,2020.0,10,Croatia,Right,,Germany - 1. Bundesliga
